name,type,value,date
MH-XSY-3F-318,1,233.0,08:00
MH-XSY-1F-111,2,187.0,08:00
MH-XXY-3F-307,3,139.2,08:00
MH-MLL-1F-A111,4,138.2,08:00
MH-XZY-1F-107,5,133.8,08:00
MH-XZY-4F-413,6,131.8,08:00
MH-XXY-1F-115,7,131.6,08:00
MH-LWLZX-2F-02,8,128.4,08:00
MH-XSY-2F-204,9,122.2,08:00
MH-XZY-1F-115,10,116.0,08:00
MH-XXY-1F-113,1,221.6,08:01
MH-XXY-3F-311,2,178.8,08:01
MH-XZY-2F-211,3,146.6,08:01
MH-XSY-2F-204,4,144.8,08:01
MH-XZY-4F-411,5,140.0,08:01
MH-XXY-3F-307,6,136.6,08:01
MH-XSY-1F-102,7,133.8,08:01
MH-XZY-4F-413,8,123.2,08:01
MH-XXY-1F-106,9,110.8,08:01
MH-XXY-4F-413,10,110.6,08:01
MH-XZY-1F-111,1,117.2,08:02
MH-XSY-3F-318,2,113.6,08:02
MH-XXY-4F-411,3,106.6,08:02
MH-XXY-1F-112,4,79.8,08:02
MH-MLL-7F-B731,5,74.8,08:02
MH-XSY-2F-210,6,68.8,08:02
MH-CLB-3F-304,7,68.4,08:02
MH-BYGTSG-3F-04,8,63.2,08:02
MH-XXY-1F-106,9,56.8,08:02
MH-XSY-2F-215,10,56.6,08:02
MH-CLC-3F-302,1,156.8,08:03
MH-XZY-1F-106,2,131.6,08:03
MH-XXY-1F-115,3,120.2,08:03
MH-XSY-3F-318,4,117.8,08:03
MH-XZY-1F-114,5,112.8,08:03
MH-XXY-1F-106,6,99.2,08:03
MH-MLL-8F-A804,7,92.8,08:03
MH-LZDTSG-2F-06,8,82.8,08:03
MH-LZDTSG-1F-01,9,75.8,08:03
MH-MLL-6F-A608,10,73.4,08:03
MH-XZY-2F-211,1,167.6,08:04
MH-CLE-2F-203,2,158.2,08:04
MH-MLL-4F-B408,3,144.2,08:04
MH-XXY-1F-105,4,135.2,08:04
MH-XXY-1F-111,5,127.2,08:04
MH-CLB-3F-311,6,119.0,08:04
MH-XXY-1F-107,7,107.8,08:04
MH-LZDTSG-2F-01,8,102.0,08:04
MH-XXY-1F-114,9,93.4,08:04
MH-XSY-2F-210,10,89.6,08:04
MH-XZY-4F-413,1,95.8,08:05
MH-XXY-3F-307,2,91.4,08:05
MH-LWLZX-2F-02,3,89.2,08:05
MH-XXY-2F-206,4,88.0,08:05
MH-MLL-6F-A602,5,81.0,08:05
XH-XSY-3F-AP300-1,6,75.4,08:05
MH-XXY-2F-205,7,67.2,08:05
MH-XSY-2F-205,8,56.2,08:05
MH-XSY-1F-105,9,52.6,08:05
MH-GCLXSYZX-5F-04,10,49.6,08:05
MH-XXY-3F-310,1,162.0,08:06
MH-XZY-2F-212,2,125.8,08:06
MH-XXY-3F-307,3,97.8,08:06
MH-HJL-5F-508,4,96.6,08:06
MH-XZY-2F-211,5,94.6,08:06
MH-XSY-2F-213,6,86.6,08:06
MH-HJL-4F-417,7,86.0,08:06
MH-XXY-4F-413,8,80.4,08:06
MH-XSY-1F-111,9,75.4,08:06
MH-XXY-4F-408,10,53.6,08:06
MH-XZY-4F-413,1,185.6,08:07
MH-XSY-1F-105,2,157.0,08:07
MH-XXY-4F-413,3,128.4,08:07
MH-FC1-4F-418,4,114.8,08:07
MH-XSY-1F-111,5,105.2,08:07
MH-XSY-2F-215,6,95.4,08:07
MH-XXY-3F-307,7,94.0,08:07
MH-BYGSXX-3F-06,8,85.4,08:07
MH-XZY-1F-111,9,62.4,08:07
MH-NSSXL-2F-213,10,58.6,08:07
MH-XXY-1F-112,1,140.0,08:08
MH-XZY-4F-411,2,116.8,08:08
MH-CLE-3F-303,3,113.0,08:08
MH-XXY-1F-113,4,110.0,08:08
MH-XSY-2F-210,5,105.2,08:08
MH-CLB-2F-206,6,92.4,08:08
MH-FC1-5F-518,7,91.0,08:08
MH-XSY-3F-317,8,90.4,08:08
MH-MLL-3F-B308,9,86.2,08:08
MH-NSSXL-2F-213,10,85.4,08:08
MH-XXY-2F-213,1,120.8,08:09
MH-XSY-2F-205,2,116.8,08:09
MH-YX7-3F-303,3,109.8,08:09
MH-MLL-1F-A111,4,100.8,08:09
MH-XSY-2F-204,5,97.6,08:09
MH-XXY-3F-311,6,95.8,08:09
MH-XXY-2F-212,7,94.0,08:09
MH-WX-3F-309,8,89.6,08:09
MH-CLC-3F-302,9,89.4,08:09
MH-XSY-2F-211,10,81.2,08:09
MH-BYGSXX-3F-01,1,118.4,08:10
MH-FC2-4F-403,2,68.2,08:10
MH-XXY-1F-112,3,51.0,08:10
MH-XXY-3F-313,4,48.6,08:10
MH-CLB-3F-304,5,48.2,08:10
MH-XSY-1F-111,6,44.2,08:10
MH-XXY-3F-307,7,44.0,08:10
MH-XSY-1F-103,8,42.4,08:10
MH-WX-1F-108,9,39.6,08:10
MH-XXY-3F-312,10,39.0,08:10
MH-HJL-3F-309,1,100.0,08:11
MH-XSY-2F-204,2,60.8,08:11
MH-MLXY-N-9F-08,3,55.6,08:11
MH-HX-A-5F-505,4,47.2,08:11
MH-SXL-2F-05,5,46.2,08:11
MH-CL-D-5F-01,6,40.6,08:11
MH-MLL-3F-B308,7,39.2,08:11
MH-XSY-1F-103,8,37.8,08:11
MH-XZY-1F-115,9,37.2,08:11
MH-XSY-4F-401,10,36.6,08:11
MH-CLA-5F-502-1,1,192.8,08:12
MH-MLL-9F-A906-1,2,157.6,08:12
MH-NS1-5F-0-507-1,3,156.4,08:12
MH-NS1-1F-105,4,141.4,08:12
MH-BYGSXX-3F-01,5,120.2,08:12
MH-CLC-3F-302,6,118.8,08:12
MH-LZDTSG-2F-06,7,88.2,08:12
MH-XZY-4F-411,8,66.2,08:12
MH-MLXY-N-7F-03,9,49.0,08:12
MH-XZY-4F-412,10,46.4,08:12
MH-HJL-4F-417,1,256.2,08:13
MH-HJL-3F-309,2,113.0,08:13
MH-CLA-2F-201,3,94.8,08:13
MH-XZY-3F-311,4,92.0,08:13
MH-XZY-1F-106,5,66.6,08:13
MH-XXY-1F-111,6,61.0,08:13
MH-XSY-3F-315,7,60.8,08:13
MH-XSY-3F-318,8,57.6,08:13
MH-XZY-2F-212,9,54.4,08:13
MH-HX-A-5F-505,10,52.8,08:13
MH-BYGSXX-3F-01,1,141.0,08:14
MH-GCXLZX-SYL-2F-01,2,103.8,08:14
MH-XXY-1F-106,3,100.2,08:14
MH-YX7-3F-303,4,100.2,08:14
MH-XXY-1F-114,5,94.2,08:14
MH-XXY-1F-105,6,90.6,08:14
MH-XZY-1F-113,7,80.4,08:14
MH-XZY-2F-211,8,70.2,08:14
MH-XXY-4F-411,9,69.4,08:14
MH-XXY-1F-115,10,57.6,08:14
MH-BYGTSG-2F-04,1,129.8,08:15
MH-HKY-3F-305,2,74.8,08:15
MH-CLE-2F-205,3,70.4,08:15
MH-YX7-3F-303,4,59.0,08:15
MH-XXY-3F-306,5,44.6,08:15
MH-BYGSXX-3F-01,6,43.4,08:15
MH-CLA-5F-502-1,7,34.8,08:15
MH-BYGTSG-3F-05,8,34.8,08:15
MH-LWLZX-1F-04,9,34.0,08:15
MH-XZY-4F-413,10,32.6,08:15
MH-XSY-1F-111,1,116.4,08:16
MH-WX-2F-201,2,96.8,08:16
MH-MLL-5F-B522,3,93.6,08:16
MH-WX-3F-309,4,91.6,08:16
MH-JZG-2F-208-03,5,49.6,08:16
MH-FXCSZX-3-1F-03,6,46.8,08:16
MH-XXY-3F-312,7,43.6,08:16
MH-XSY-2F-212,8,42.6,08:16
MH-XZY-2F-212,9,41.6,08:16
MH-XSY-1F-102,10,41.2,08:16
MH-MLL-5F-A506-1,1,89.8,08:17
MH-XZY-4F-413,2,83.4,08:17
MH-XSY-1F-111,3,54.2,08:17
MH-XSY-1F-105,4,53.6,08:17
MH-FC1-3F-310-2,5,49.4,08:17
MH-WX-4F-415,6,47.8,08:17
MH-XZY-1F-107,7,47.0,08:17
MH-XSY-4F-409,8,42.0,08:17
MH-XSY-2F-212,9,41.8,08:17
MH-XXY-4F-413,10,41.4,08:17
