name,type,value,date
MH-CLB-2F-210,1,366.0,09:00
MH-YX7-5F-510,2,311.5,09:00
MH-GCLXSYZX-3F-03,3,86.0,09:00
MH-SXL-2F-01,4,80.5,09:00
MH-CLF-4F-417,5,79.5,09:00
MH-CLA-5F-502-1,6,66.5,09:00
MH-BYGTSG-4F-05,7,60.0,09:00
MH-XZY-1F-115,8,58.0,09:00
MH-XZY-1F-105,9,41.0,09:00
MH-GMTYC-1F-09,10,37.0,09:00
MH-XTYG-CYL-54#-OUT,1,79.5,09:01
XH-XSY-1F-S103-2,2,64.5,09:01
MH-MLL-4F-B404,3,58.5,09:01
MH-XZY-1F-114,4,44.5,09:01
MH-LZDTSG-2F-05,5,27.5,09:01
MH-GCXLZX-SYL-2F-04,6,27.0,09:01
MH-BYGTSG-2F-05,7,19.0,09:01
MH-D4CY-1F-01,8,18.0,09:01
MH-FC2-3F-318-2,9,15.5,09:01
MH-MLL-6F-B604,10,11.5,09:01
MH-CLA-4F-402-1,1,94.5,09:02
MH-LZDTSG-2F-03,2,33.5,09:02
MH-XZY-1F-113,3,16.5,09:02
MH-BYGTSG-1F-01,4,16.0,09:02
MH-XTYG-2F-203-2,5,12.0,09:02
MH-XTYG-2F-203-1,6,11.5,09:02
MH-JJT-42#-OUT,7,9.5,09:02
MH-BYGTSG-4F-02,8,5.5,09:02
MH-HLGC-1F-02,9,1.5,09:02
MH-BYGSXX-3F-01,10,1.0,09:02
MH-LZDTSG-2F-06,1,127.0,09:03
MH-XZY-1F-105,2,88.5,09:03
MH-MLL-2F-B219,3,61.0,09:03
MH-GCXLZX-SYL-2F-03,4,36.0,09:03
MH-CLB-2F-206,5,32.5,09:03
MH-LZDTSG-3F-10,6,24.5,09:03
MH-ZYXY-6F-01,7,23.5,09:03
MH-LZDTSG-2F-01,8,23.0,09:03
MH-GCLXSYZX-5F-06,9,22.5,09:03
MH-GCXLZX-SYL-2F-04,10,21.0,09:03
MH-MLL-6F-B608,1,362.0,09:04
MH-BYGTSG-3F-01,2,30.5,09:04
MH-BYGTSG-3F-05,3,28.0,09:04
MH-LZDTSG-3F-01,4,27.5,09:04
MH-CLA-5F-502-1,5,25.5,09:04
MH-XTYG-CYL-54#-OUT,6,23.5,09:04
MH-SXL-2F-03,7,20.5,09:04
MH-XTYG-2F-203-2,8,18.5,09:04
MH-ZYXY-5F-05,9,12.5,09:04
MH-LZDTSG-3F-09,10,12.0,09:04
MH-YX3-2F-213,1,103.5,09:05
MH-XZY-1F-105,2,87.0,09:05
MH-NS1-1F-109,3,67.0,09:05
MH-YX2-4F-2-413,4,31.0,09:05
MH-LZDTSG-3F-10,5,30.5,09:05
MH-BYGTSG-4F-01,6,30.0,09:05
MH-YX7-4F-401,7,25.0,09:05
MH-BYGTSG-3F-04,8,18.5,09:05
MH-LZDTSG-2F-03,9,17.0,09:05
MH-HX-A-4F-407B,10,17.0,09:05
MH-BYGTSG-2F-04,1,265.0,09:06
MH-MLL-10F-A1002,2,106.5,09:06
MH-FC2-3F-318-2,3,68.5,09:06
MH-BYGTSG-3F-01,4,67.5,09:06
MH-CL-H-3F-313,5,62.0,09:06
MH-MLL-5F-B531,6,58.0,09:06
MH-YYG-1F-01,7,47.5,09:06
MH-XZY-1F-111,8,44.0,09:06
MH-CL-E-3F-01,9,37.5,09:06
MH-MLL-9F-A915,10,30.0,09:06
MH-NS2-5F-503,1,72.0,09:07
MH-BYGTSG-4F-04,2,52.0,09:07
MH-BYGTSG-3F-01,3,31.5,09:07
MH-MLXY-N-1F-01,4,29.0,09:07
MH-CLA-5F-505,5,18.0,09:07
MH-JJT-42#-OUT,6,15.0,09:07
MH-GM-1F-106-A,7,12.5,09:07
MH-MLL-5F-B531,8,10.5,09:07
MH-XTYG-CYL-54#-OUT,9,10.0,09:07
MH-GCXLZX-SYL-2F-03,10,9.0,09:07
MH-FC1-4F-418,1,111.5,09:08
MH-YX3-1F-103,2,94.0,09:08
